_loaded_at,_sync_id,_is_deleted,contact_id,account_id,first_name,last_name,email,phone,title,department,created_date,last_modified_date
2025-01-10 02:00:00,sync_001,false,CON-001,ACC-001,Erik,Lindberg,erik.lindberg@example.com,+4520123456,Homeowner,,2025-01-05,2025-01-05
2025-01-10 02:00:00,sync_001,false,CON-002,ACC-002,Anna,Svensson,anna.svensson@example.com,+4687654321,Homeowner,,2025-01-05,2025-01-05
2025-01-10 02:00:00,sync_001,false,CON-003,ACC-003,Lars,Hansen,lars.hansen@example.com,+4731234567,CEO,Management,2025-01-05,2025-01-05
2025-01-10 02:00:00,sync_001,false,CON-004,ACC-004,Mette,Nielsen,mette.nielsen@example.com,+4528765432,Homeowner,,2025-01-06,2025-01-06
2025-01-10 02:00:00,sync_001,false,CON-005,ACC-005,Olof,Johansson,olof.johansson@example.com,+46701234567,Facilities Manager,Operations,2025-01-06,2025-01-06
2025-01-10 02:00:00,sync_001,false,CON-006,ACC-006,Ingrid,Berg,ingrid.berg@example.com,+4790123456,Homeowner,,2025-01-07,2025-01-07
2025-01-10 02:00:00,sync_001,false,CON-007,ACC-007,Karl,Petersen,karl.petersen@example.com,+4521987654,Homeowner,,2025-01-08,2025-01-08
2025-01-10 02:00:00,sync_001,false,CON-008,ACC-008,Sofia,Nyström,sofia.nystrom@example.com,+46739876543,Homeowner,,2025-01-10,2025-01-10
2025-01-20 02:00:00,sync_002,false,CON-009,ACC-009,Bjørn,Dahl,bjorn.dahl@example.com,+4741234567,Property Manager,Operations,2025-01-12,2025-01-12
2025-01-20 02:00:00,sync_002,false,CON-010,ACC-010,Freya,Madsen,freya.madsen@example.com,+4523456789,Homeowner,,2025-01-15,2025-01-15
2025-01-20 02:00:00,sync_002,false,CON-011,ACC-003,Kari,Olsen,kari.olsen@hansen-consulting.example.no,+4732345678,Office Manager,Administration,2025-01-18,2025-01-18
2025-02-01 02:00:00,sync_003,false,CON-002,ACC-002,Anna,Svensson,anna.svensson@newmail.se,+4687654321,Homeowner,,2025-01-05,2025-01-25
2025-02-01 02:00:00,sync_003,false,CON-001,ACC-001,Erik,Lindberg,erik.lindberg@example.com,+4520999888,Homeowner,,2025-01-05,2025-02-15
2025-03-01 02:00:00,sync_004,true,CON-007,ACC-007,Karl,Petersen,karl.petersen@example.com,+4521987654,Homeowner,,2025-01-08,2025-03-01
2025-03-14 01:15:00,sync_005,false,CON-011,ACC-011,Sofie,Lund,sofie.lund@example.com,+4522113344,Homeowner,,2025-03-12,2025-03-12
2025-03-13 22:20:00,sync_005,false,CON-012,ACC-012,Emil,Rasmussen,emil.rasmussen@example.com,+4522334455,Homeowner,,2025-03-12,2025-03-12
2025-03-13 23:25:00,sync_005,false,CON-013,ACC-013,Nora,Halvorsen,nora.halvorsen@example.com,+4791122334,Homeowner,,2025-03-12,2025-03-12
2025-03-15 00:30:00,sync_005,false,CON-014,ACC-014,Jonas,Nystrom,jonas.nystrom@example.com,+46701122334,Homeowner,,2025-03-13,2025-03-13
2025-03-15 01:10:00,sync_006,false,CON-015,ACC-015,Camilla,Bergstrom,camilla.bergstrom@example.com,+46702233445,Homeowner,,2025-03-13,2025-03-13
2025-03-14 22:15:00,sync_006,false,CON-016,ACC-016,Mikael,Olsen,mikael.olsen@example.com,+4792233445,Operations Manager,Operations,2025-03-13,2025-03-13
2025-03-15 23:20:00,sync_006,false,CON-017,ACC-017,Helene,Christensen,helene.christensen@example.com,+4522445566,Homeowner,,2025-03-14,2025-03-14
2025-03-16 00:25:00,sync_006,false,CON-018,ACC-018,Viktor,Sjoberg,viktor.sjoberg@example.com,+46703344556,Operations Manager,Operations,2025-03-14,2025-03-14
2025-03-16 01:30:00,sync_007,false,CON-019,ACC-019,Line,Andersen,line.andersen@example.com,+4793344556,Homeowner,,2025-03-14,2025-03-14
2025-03-16 22:10:00,sync_007,false,CON-020,ACC-020,Oscar,Larsson,oscar.larsson@example.com,+46704455667,Homeowner,,2025-03-15,2025-03-15
2025-03-16 23:15:00,sync_007,false,CON-021,ACC-021,Rikke,Moller,rikke.moller@example.com,+4522556677,Operations Manager,Operations,2025-03-15,2025-03-15
2025-03-17 00:20:00,sync_007,false,CON-022,ACC-022,Filip,Eriksson,filip.eriksson@example.com,+46705566778,Homeowner,,2025-03-15,2025-03-15
